[18:15:54] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[18:15:54] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[18:15:54] [ServerMain/INFO]: Reloading ResourceManager: Default
[18:15:55] [Worker-Main-9/INFO]: Loaded 7 recipes
[18:15:56] [Worker-Main-9/INFO]: Loaded 1141 advancements
[18:15:59] [Server thread/INFO]: Starting minecraft server version 1.18.1
[18:15:59] [Server thread/INFO]: Loading properties
[18:15:59] [Server thread/INFO]: Default game type: SURVIVAL
[18:15:59] [Server thread/INFO]: Generating keypair
[18:16:00] [Server thread/INFO]: Starting Minecraft server on *:25565
[18:16:00] [Server thread/INFO]: Using default channel type
[18:16:01] [Server thread/INFO]: Preparing level "world"
[18:16:01] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[18:16:03] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[18:16:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:03] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:04] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:20] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[18:16:21] [Worker-Main-11/INFO]: Preparing spawn area: 0%
